True;report_time;location;incident_type;summary;raw_string
1504492;2015-10-28 13:34:00;JOHN STAUFFER SCIENCE LECTURE HALL;PROPERTY;to  10/28/15;[new_line][new_line]10/28/15  1:34 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]JOHN STAUFFER SCIENCE LECTURE HALL[new_line][new_line]Report #:[new_line][new_line]1504492[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  1:30 pm[new_line]PROPERTY[new_line]A student reported her cellular phone missing.[new_line][new_line] 1:30 pm[new_line][new_line]-[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504493;2015-10-28 14:17:00;;THEFT-PETTY;10/25/15  -  to;[new_line][new_line]10/28/15  2:17 pm[new_line][new_line]-[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/25/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/24/15  9:00 am[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]Location:[new_line][new_line]-[new_line][new_line] 8:00 am[new_line][new_line]ELISABETH VON KLEINSMID MEMORIAL [new_line]RESIDENCE HALL[new_line][new_line]Report #:[new_line][new_line]1504493[new_line][new_line]Disposition: Open[new_line][new_line]Theft Petty-Plain[new_line][new_line]
1504494;2015-10-28 14:35:00;PARKING STRUCTURE B;TRAFFIC;to;[new_line][new_line]10/28/15  2:35 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE B[new_line][new_line]Report #:[new_line][new_line]1504494[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/28/15  2:00 pm[new_line]-[new_line]TRAFFIC[new_line]A staff member driving a rental vehicle collided with a non-USC female driving her personal vehicle, causing minor damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line]Disposition: CLOSED[new_line][new_line] 2:00 pm[new_line][new_line]10/28/15[new_line][new_line]-[new_line][new_line]
1504495;2015-10-28 15:26:00;GRACE FORD SALVATORI HALL OF LETTERS  ARTS & SCIENC;PROPERTY;to  10/28/15;[new_line][new_line]10/28/15  3:26 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]GRACE FORD SALVATORI HALL OF LETTERS [new_line]ARTS & SCIENC[new_line][new_line]Report #:[new_line][new_line]1504495[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  2:20 am[new_line]PROPERTY[new_line]A wallet was found at the location and turned in to DPS Lost & Found.[new_line][new_line] 2:20 am[new_line][new_line]Recovered Property Without a Crime[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504496;2015-10-28 17:40:00;PARKSIDE RESIDENTIAL BUILDING;SERVICE;to  10/28/15;[new_line][new_line]10/28/15  5:40 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKSIDE RESIDENTIAL BUILDING[new_line][new_line]Report #:[new_line][new_line]1504496[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]-[new_line]10/28/15  5:40 pm[new_line]SERVICE[new_line]A student was examined and released at the scene after experiencing stomach and chest pains.[new_line][new_line]Illness Response[new_line][new_line] 5:40 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504497;2015-10-28 17:46:00;2663 ORCHARD AV;SERVICE;to  10/28/15;[new_line][new_line]10/28/15  5:46 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]2663 ORCHARD AV[new_line][new_line]Report #:[new_line][new_line]1504497[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  5:45 pm[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after cutting her finger.[new_line][new_line]Injury Response[new_line][new_line] 5:55 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504498;2015-10-28 18:37:00;DAVID X. MARKS TOWER;SERVICE;to  10/28/15;[new_line][new_line]10/28/15  6:37 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]DAVID X. MARKS TOWER[new_line][new_line]Report #:[new_line][new_line]1504498[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  6:35 pm[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after injuring his collar bone.[new_line][new_line]Injury Response[new_line][new_line] 6:35 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504499;2015-10-28 17:38:00;ELAINE & KENNETH LEVENTHAL SCHOOL OF  ACCOUNTING;EH&S;to  10/28/15;[new_line][new_line]10/28/15  5:38 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ELAINE & KENNETH LEVENTHAL SCHOOL OF [new_line]ACCOUNTING[new_line][new_line]Report #:[new_line][new_line]1504499[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  5:38 pm[new_line]EH&S[new_line]A water leak was reported in a second floor restroom.  FMS personnel were requested and responded to clean up and [new_line]conduct repairs.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Water Leak[new_line][new_line] 5:38 pm[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/28/15  8:19 pm[new_line][new_line]
1504500;2015-10-28 20:19:00;KECK HOSPITAL OF USC;ALARM RESPONSE;A radiation alarm was activated by the contents of two trash bags.;[new_line][new_line]Occurred:[new_line]Incident:[new_line][new_line]-[new_line][new_line]10/28/15  8:19 pm[new_line]ALARM RESPONSE[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504500[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]-[new_line][new_line] 8:27 pm[new_line][new_line]Disposition: CLOSED[new_line][new_line]Environmental Alarm[new_line][new_line]Summary:[new_line][new_line]A radiation alarm was activated by the contents of two trash bags.[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/28/15 10:26 pm[new_line][new_line]Location:[new_line][new_line]OLIN HALL OF ENGINEERING[new_line][new_line]Report #:[new_line][new_line]1504501[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  6:25 pm[new_line]PROPERTY[new_line]A parking bollard was damaged by unknown means.[new_line][new_line] 6:33 pm[new_line][new_line]-[new_line][new_line]Damaged Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504502;2015-10-28 22:52:00;ANNENBERG SCHOOL FOR COMMUNICATION;THEFT-PETTY;10/28/15  -  to;[new_line][new_line]10/28/15 10:52 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ANNENBERG SCHOOL FOR COMMUNICATION[new_line][new_line]Report #:[new_line][new_line]1504502[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/28/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15  4:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 9:00 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504503;2015-10-28 18:03:00;JACK IN THE BOX;PROPERTY;to  10/28/15;[new_line][new_line]10/28/15  6:03 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]JACK IN THE BOX[new_line][new_line]Report #:[new_line][new_line]1504503[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15[new_line][new_line]10/28/15  6:00 pm[new_line]PROPERTY[new_line]A bicycle was found at the location and subsequently impounded at the DPS office.[new_line][new_line]Recovered/Impounded Bicycle[new_line][new_line] 6:30 pm[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]
1504504;2015-10-29 00:48:00;30TH ST & FIGUEROA ST;ALCOHOL;to  10/29/15;[new_line][new_line]10/29/15 12:48 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]30TH ST & FIGUEROA ST[new_line][new_line]Report #:[new_line][new_line]1504504[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]-[new_line]10/29/15 12:48 am[new_line]ALCOHOL[new_line]A student was transported to a local hospital for medical treatment after being found under the influence of a controlled [new_line]substance.[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line]Disposition: Open[new_line][new_line]12:48 am[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504505;2015-10-29 03:56:00;ENTRANCE GATE 3;;to  - SERVICE A student was transported to a local hospital for medical treatment after experiencing difficulty breathing and chest pains.;[new_line][new_line]10/29/15  3:56 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ENTRANCE GATE 3[new_line][new_line]Report #:[new_line][new_line]1504505[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after experiencing difficulty breathing and chest pains.[new_line][new_line]Disposition: Open[new_line][new_line]Illness Response[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504506;2015-10-29 10:54:00;BIEGLER HALL OF ENGINEERING;PROPERTY;to  10/29/15;[new_line][new_line]10/29/15 10:54 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]BIEGLER HALL OF ENGINEERING[new_line][new_line]Report #:[new_line][new_line]1504506[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]10/29/15 10:30 am[new_line]PROPERTY[new_line]A student reported his cellular phone missing.[new_line][new_line]10:54 am[new_line][new_line]-[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504507;2015-10-29 12:33:00;;THEFT-PETTY;10/29/15  -  to;[new_line][new_line]10/29/15 12:33 pm[new_line][new_line]-[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15 11:30 am[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]Location:[new_line][new_line]-[new_line][new_line]12:30 pm[new_line][new_line]GRACE FORD SALVATORI HALL OF LETTERS [new_line]ARTS & SCIENC[new_line][new_line]Report #:[new_line][new_line]1504507[new_line][new_line]Disposition: Open[new_line][new_line]Theft Petty-Plain[new_line][new_line]
1504508;2015-10-29 12:59:00;MAY ORMEROD HARRIS HALL QUINN WING &  FISHER GALLER;PROPERTY;to  10/29/15;[new_line][new_line]10/29/15 12:59 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]MAY ORMEROD HARRIS HALL QUINN WING & [new_line]FISHER GALLER[new_line][new_line]Report #:[new_line][new_line]1504508[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]10/29/15  1:00 pm[new_line]PROPERTY[new_line]A wallet was found at the location and turned in to DPS Lost & Found.[new_line][new_line] 1:38 pm[new_line][new_line]Recovered Property Without a Crime[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504509;2015-10-29 13:15:00;1168 36TH PL;THEFT-PETTY;10/29/15  -  to;[new_line][new_line]10/29/15  1:15 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1168 36TH PL[new_line][new_line]Report #:[new_line][new_line]1504509[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/28/15  8:30 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 1:15 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504510;2015-10-29 15:49:00;SIGMA NU;THEFT-PETTY;10/27/15  -  to;[new_line][new_line]10/29/15  3:49 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]SIGMA NU[new_line][new_line]Report #:[new_line][new_line]1504510[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/27/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/26/15  5:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]
1504511;2015-10-29 16:16:00;;THEFT-PETTY;10/29/15  -  to;[new_line][new_line]10/29/15  4:16 pm[new_line][new_line]-[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/27/15  6:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 9:15 am[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]Location:[new_line][new_line]-[new_line][new_line] 2:45 pm[new_line][new_line]CECELE & MICHAEL BIRNKRANT RESIDENCE [new_line]HALL[new_line][new_line]Report #:[new_line][new_line]1504511[new_line][new_line]Disposition: Open[new_line][new_line]Theft Petty-Plain[new_line][new_line]
1504513;2015-10-29 18:10:00;KECK HOSPITAL OF USC;SERVICE;to;[new_line][new_line]10/29/15  6:10 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504513[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]-[new_line]10/29/15  6:10 pm[new_line]SERVICE[new_line]A staff member suffering from an unspecified illness was transported to a local hospital for medical treatment.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Illness Response[new_line][new_line] 6:24 pm[new_line][new_line]10/19/15[new_line][new_line]-[new_line][new_line]
1504514;2015-10-29 19:04:00;THE LORENZO APARTMENTS;DISTURBANCE;A student reported that her roommate shoved her three times following an argument.  The student did not desire criminal  prosecution of the matter.;[new_line][new_line]10/29/15  7:04 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]THE LORENZO APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1504514[new_line][new_line]Occurred:[new_line]Incident:[new_line][new_line]-[new_line][new_line]10/29/15  6:30 pm[new_line]DISTURBANCE[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line] 6:30 pm[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]Disturbing The Peace[new_line][new_line]Summary:[new_line][new_line]A student reported that her roommate shoved her three times following an argument.  The student did not desire criminal [new_line]prosecution of the matter.[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504515;2015-10-29 17:18:00;1157 27TH ST;SERVICE;to  10/29/15;[new_line][new_line]10/29/15  5:18 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1157 27TH ST[new_line][new_line]Report #:[new_line][new_line]1504515[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]10/29/15  5:18 pm[new_line]-[new_line]SERVICE[new_line]A student reported that her roommate, also a student, has been missing for four days.[new_line][new_line]Missing/Found Persons[new_line][new_line] 5:18 pm[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504516;2015-10-29 20:36:00;SOTO STREET BUILDING TWO;TRAFFIC;to  10/29/15;[new_line][new_line]10/29/15  8:36 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]SOTO STREET BUILDING TWO[new_line][new_line]Report #:[new_line][new_line]1504516[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line]10/29/15  8:10 pm[new_line]-[new_line]TRAFFIC[new_line]A staff member backed his vehicle into a student's parked vehicle, causing minor damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line] 8:36 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504517;2015-10-29 20:58:00;OUTSIDE USC AREA;SERVICE;to;[new_line][new_line]10/29/15  8:58 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]OUTSIDE USC AREA[new_line][new_line]Report #:[new_line][new_line]1504517[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]-[new_line]10/29/15  8:58 pm[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after experiencing abdominal pain.[new_line][new_line]Illness Response[new_line][new_line]Disposition: CLOSED[new_line][new_line] 8:58 pm[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504518;2015-10-29 22:55:00;SEAVER SCIENCE LIBRARY;PROPERTY;to;[new_line][new_line]10/29/15 10:55 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]SEAVER SCIENCE LIBRARY[new_line][new_line]Report #:[new_line][new_line]1504518[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15 10:30 pm[new_line]PROPERTY[new_line]A satchel containing packets of possible narcotics was found at the location and subsequently booked at LAPD MDC.[new_line][new_line]Recovered Property Without a Crime[new_line][new_line]Disposition: CLOSED[new_line][new_line]10:30 pm[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]
1504519;2015-10-29 23:52:00;RONALD TUTOR CAMPUS CENTER;SERVICE;to  10/29/15;[new_line][new_line]10/29/15 11:52 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]RONALD TUTOR CAMPUS CENTER[new_line][new_line]Report #:[new_line][new_line]1504519[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15[new_line][new_line] 4:00 pm[new_line][new_line]-[new_line]10/29/15  4:00 pm[new_line]SERVICE[new_line]A student reported that while she was driving behind the location a suspect entered her vehicle through the passenger side [new_line]door, sat down and asked her to drive him home. The student ordered the suspect to get out of her vehicle and when he did [new_line]not comply she threatened to call the police.  The suspect then stated that the incident was a prank and exited the vehicle.[new_line][new_line]Suspicious Circumstances[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504520;2015-10-30 00:21:00;1173 29TH ST;THEFT-PETTY;10/29/15  -  to;[new_line][new_line]10/30/15 12:21 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1173 29TH ST[new_line][new_line]Report #:[new_line][new_line]1504520[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/29/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/29/15  9:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line]11:45 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504521;2015-10-30 01:01:00;1380 30TH ST;DISTURBANCE;to  1/1/00;[new_line][new_line]10/30/15  1:01 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1380 30TH ST[new_line][new_line]Report #:[new_line][new_line]1504521[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]12:00 am[new_line][new_line]1/1/00[new_line]DISTURBANCE[new_line]A student was cited to Judicial Affairs for belligerent behavior with officers who responded to shut down a party at the location [new_line]following a noise complaint.[new_line][new_line]Disturbing The Peace[new_line][new_line]Disposition: Open[new_line][new_line]12:00 am[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504522;2015-10-30 03:12:00;KECK HOSPITAL OF USC;ALARM RESPONSE;to  1/1/00;[new_line][new_line]10/30/15  3:12 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504522[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]1/1/00[new_line]12:00 am[new_line]ALARM RESPONSE[new_line]A radiation alarm was activated by the contents of three trash bags.[new_line][new_line]Environmental Alarm[new_line][new_line]12:00 am[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Safety[new_line][new_line]
1504523;2015-10-30 11:05:00;PARKING STRUCTURE C;TRAFFIC;to  10/30/15;[new_line][new_line]10/30/15 11:05 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE C[new_line][new_line]Report #:[new_line][new_line]1504523[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/30/15[new_line][new_line]10/30/15  4:00 am[new_line]-[new_line]TRAFFIC[new_line]A student's vehicle was immobilized for displaying an altered USC parking permit.[new_line][new_line]Altered Parking Permit[new_line][new_line]10:00 am[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504524;2015-10-30 12:30:00;OUTSIDE USC AREA;PROPERTY;to  10/24/15;[new_line][new_line]10/30/15 12:30 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]OUTSIDE USC AREA[new_line][new_line]Report #:[new_line][new_line]1504524[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/24/15[new_line][new_line]10/24/15 11:00 am[new_line]PROPERTY[new_line]A student reported her cellular phone missing.[new_line][new_line]11:30 am[new_line][new_line]-[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504525;2015-10-30 13:38:00;3038 ROYAL ST;THEFT-PETTY;9/30/15  -  to;[new_line][new_line]10/30/15  1:38 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]3038 ROYAL ST[new_line][new_line]Report #:[new_line][new_line]1504525[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]9/30/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line] 5:00 pm[new_line][new_line]9/29/15[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line]10:00 am[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504526;2015-10-30 12:34:00;ROBERT ZEMECKIS CENTER;SERVICE;to  1/1/00;[new_line][new_line]10/30/15 12:34 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ROBERT ZEMECKIS CENTER[new_line][new_line]Report #:[new_line][new_line]1504526[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]12:00 am[new_line][new_line]-[new_line]1/1/00[new_line]SERVICE[new_line]A student sought medical treatment on her own at SHC after injuring her toe.[new_line][new_line]Injury Response[new_line][new_line]12:00 am[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs, Safety[new_line][new_line]
1504527;2015-10-30 17:16:00;2727 MENLO AV;SEX OFFENSE;to  8/30/15;[new_line][new_line]10/30/15  5:16 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]2727 MENLO AV[new_line][new_line]Report #:[new_line][new_line]1504527[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]8/30/15[new_line][new_line]12:00 am[new_line][new_line]8/30/15[new_line]SEX OFFENSE[new_line]A student reported that she was sexually assaulted.[new_line][new_line]12:01 am[new_line]Rape[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Student Affairs, HR[new_line][new_line]
1504528;2015-10-30 14:13:00;SAN PABLO ST & VALLEY BL;WARRANT;to  10/30/15;[new_line][new_line]10/30/15  2:13 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]SAN PABLO ST & VALLEY BL[new_line][new_line]Report #:[new_line][new_line]1504528[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/30/15[new_line][new_line]10/30/15  2:15 pm[new_line]-[new_line]WARRANT[new_line]A prowling suspect was arrested for an outstanding warrant.[new_line][new_line]Warrant Arrest[new_line][new_line] 2:15 pm[new_line][new_line]-[new_line][new_line]Disposition: Cleared Arrest[new_line][new_line]
1504529;2015-10-30 13:40:00;32ND ST & FIGUEROA ST;VANDALISM;to  10/30/15;[new_line][new_line]10/30/15  1:40 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]32ND ST & FIGUEROA ST[new_line][new_line]Report #:[new_line][new_line]1504529[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/30/15[new_line][new_line]10/30/15  1:30 pm[new_line]VANDALISM[new_line]A suspect was arrested for smashing the rear passenger side window of a non-USC male's vehicle.[new_line][new_line]Vandalism-Felony[new_line][new_line] 1:40 pm[new_line][new_line]-[new_line][new_line]Disposition: Cleared Arrest[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 10/30/2015 To 11/2/2015[new_line][new_line]
1504530;2015-10-30 18:50:00;1380 30TH ST;DISTURBANCE;to  10/30/15;[new_line][new_line]10/30/15  6:50 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1380 30TH ST[new_line][new_line]Report #:[new_line][new_line]1504530[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/30/15[new_line][new_line]10/30/15  1:00 am[new_line]DISTURBANCE[new_line]A student was cited to Judicial Affairs for uncooperative behavior with officers who responded to shut down a party at the [new_line]location due to a noise complaint.[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]Disturbing The Peace[new_line][new_line] 1:30 am[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504531;2015-10-30 20:33:00;KECK HOSPITAL OF USC;;;[new_line][new_line]10/30/15  8:33 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504531[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
